epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8901636600494385,0.3642820715904236,0.001,0.9775999784469604,0.07978205382823944
1,0.9666000008583069,0.10808055102825165,0.001,0.9850000143051147,0.052520502358675
2,0.9742000102996826,0.0832705870270729,0.001,0.9872000217437744,0.047134049236774445
3,0.9786182045936584,0.06996786594390869,0.001,0.9883999824523926,0.04067479446530342
4,0.9814545512199402,0.060364559292793274,0.001,0.9891999959945679,0.03765815496444702
5,0.983018159866333,0.053554657846689224,0.001,0.9908000230789185,0.03262883424758911
6,0.9835272431373596,0.051662568002939224,0.001,0.9900000095367432,0.036123763769865036
7,0.9843817949295044,0.049265917390584946,0.001,0.991599977016449,0.03362425044178963
8,0.9867091178894043,0.04071801155805588,0.0005,0.9923999905586243,0.03060617297887802
9,0.9879999756813049,0.038062356412410736,0.0005,0.9919999837875366,0.031118445098400116
